round,0,1,2,3,4,5,6,7,8,9
1,0.7720279720279717,0.9658536585365851,0.2266733266733268,0.5,0.19660339660339637,0.6105263157894737,0.15304695304695287,0.1396603396603397,0.34866920152091263,0.6405650857719472
2,0.29660339660339663,0.1580221997981836,0.27262737262737263,0.26543456543456545,0.3473684210526316,0.10869130869130865,0.17222777222777236,0.08536585365853658,0.423574144486692,0.0631578947368421
3,0.33017154389505565,0.3463414634146341,0.2954045954045954,0.31052631578947365,0.2191808191808192,0.21578421578421564,0.27272727272727265,0.45247148288973377,0.13684210526315788,0.20359640359640357
4,0.5190809190809189,0.8425855513307985,0.3526315789473684,0.4928071928071929,0.23286713286713287,0.38102926337033294,0.24634146341463414,0.13157894736842102,0.2242757242757243,0.14865134865134855
5,0.3716283716283716,0.09790209790209804,0.22631578947368425,0.6347652347652348,0.08060836501901134,0.3285714285714284,0.3315789473684211,0.0883116883116884,0.0548780487804878,0.06760847628657911
6,0.11538461538461545,0.21538461538461534,0.575609756097561,0.4444866920152091,0.23157894736842105,0.14106962663975778,0.02917082917082913,0.3,0.44105894105894106,0.22477522477522482
7,0.05754245754245746,0.08879919273461154,0.18170731707317073,0.0631578947368421,0.6368421052631579,0.29750249750249746,0.2002997002997003,0.4965034965034964,0.001398601398601373,0.048288973384030286
8,0.2367632367632368,0.17702297702297717,0.08221778221778224,0.7368421052631579,0.15513307984790908,0.4895104895104895,0.33292682926829265,0.2563436563436563,0.13157894736842107,0.24904137235116036
9,0.2583249243188699,0.09634146341463412,0.1894736842105263,0.23906093906093911,0.25004995004995006,0.5243346007604562,0.0027972027972027642,0.4,0.36093906093906103,0.010526315789473686
10,0.08658536585365853,0.006659939455095837,0.010526315789473693,0.007792207792207756,0.03422053231939161,0.02105263157894737,0.10039960039960043,0.20749250749250744,0.11198801198801198,0.06333666333666334
11,0.16363636363636364,0.09170829170829171,0.04555444555444567,0.010526315789473693,0.17662337662337674,0.026315789473684226,0.3038022813688212,0.13780487804878044,0.4734265734265734,0.14248234106962662
12,0.0998001998001998,0.057842157842157835,0.025855513307984756,0.09540459540459538,0.0,0.0,0.0,0.025609756097560978,0.20279720279720292,0.0003996003996004088
13,0.3341658341658341,0.3021978021978022,0.0,0.03460076045627377,0.13684210526315785,0.1842105263157895,0.2963414634146342,0.16163836163836165,0.017982017982017984,0.0
14,0.1631578947368421,0.18421052631578946,0.03346007604562738,0.28991008991008993,0.18292682926829268,0.25134865134865164,0.10339660339660339,0.09370629370629362,0.006256306760847648,0.3791208791208791
15,0.21951219512195125,0.09473684210526317,0.1952047952047952,0.0,0.11628371628371628,0.41208791208791207,0.25789473684210523,0.005449041372351201,0.0009990009990010044,0.01939163498098855
16,0.1582417582417583,0.28011988011988026,0.2774225774225775,0.1894736842105263,0.11241170534813309,0.032167832167832165,0.18048780487804877,0.01908091908091907,0.373003802281369,0.10526315789473688
17,0.0,0.2614385614385614,0.07682317682317684,0.09780219780219783,0.006256306760847633,0.11578947368421053,0.20731707317073167,0.11108891108891095,0.026615969581749048,0.03336663336663337
18,0.2835519677093844,0.2009990009990009,0.3052631578947368,0.26707317073170733,0.2,0.03626373626373622,0.11268731268731269,0.11140684410646384,0.08681318681318677,0.09100899100899097
19,0.052631578947368404,0.3769230769230768,0.0,0.19260739260739262,0.22804878048780486,0.10119880119880123,0.016183816183816212,0.037642585551330834,0.010526315789473684,0.3496503496503496
20,0.10129870129870129,0.16315789473684209,0.2,0.011406844106463854,0.0,0.1074925074925075,0.09300699300699301,0.0893106893106893,0.25570131180625605,0.035365853658536596
